exposure_key,event_key,player_key,sku,occurred_at,session_key,page,event_name,fatigue,progression,balance,failure,overlap,urgency,cooldown,goals,owned
imp-001,evt-001,p-001,sku-currency,2026-01-01T01:00:00Z,s-001,store_home,VIEW,0.10,0.80,30000,0.30,0.00,0.80,0.00,progression|event,
imp-001,evt-002,p-001,sku-currency,2026-01-01T01:00:02Z,s-001,store_home,OPEN_DETAIL,0.10,0.80,30000,0.30,0.00,0.80,0.00,progression|event,
imp-001,evt-003,p-001,sku-currency,2026-01-01T01:00:05Z,s-001,store_home,BUY,0.10,0.80,30000,0.30,0.00,0.80,0.00,progression|event,
imp-002,evt-004,p-001,sku-cosmetic,2026-01-02T01:00:00Z,s-002,store_home,VIEW,0.20,0.20,20100,0.10,0.00,0.50,0.80,collectible|event,sku-currency
imp-003,evt-005,p-001,sku-upgrade,2026-01-03T01:00:00Z,s-003,store_home,VIEW,0.15,0.90,20100,0.70,0.00,0.60,0.40,progression|event,sku-currency
imp-003,evt-006,p-001,sku-upgrade,2026-01-03T01:00:03Z,s-003,store_home,OPEN_DETAIL,0.15,0.90,20100,0.70,0.00,0.60,0.40,progression|event,sku-currency
imp-004,evt-007,p-001,sku-currency,2026-01-04T01:00:00Z,s-004,store_home,VIEW,0.40,0.70,20100,0.40,1.00,0.40,0.20,event,sku-currency
imp-005,evt-008,p-001,sku-upgrade,2026-01-05T01:00:00Z,s-005,store_home,VIEW,0.30,0.95,20100,0.80,0.00,0.90,0.10,progression|event,sku-currency
imp-005,evt-009,p-001,sku-upgrade,2026-01-05T01:00:03Z,s-005,store_home,OPEN_DETAIL,0.30,0.95,20100,0.80,0.00,0.90,0.10,progression|event,sku-currency
imp-005,evt-010,p-001,sku-upgrade,2026-01-05T01:00:06Z,s-005,store_home,BUY,0.30,0.95,20100,0.80,0.00,0.90,0.10,progression|event,sku-currency
imp-006,evt-011,p-001,sku-cosmetic,2026-01-06T01:00:00Z,s-006,store_home,VIEW,0.50,0.10,5200,0.00,0.00,0.30,0.90,collectible,sku-currency|sku-upgrade
imp-006,evt-012,p-001,sku-cosmetic,2026-01-06T01:00:03Z,s-006,store_home,OPEN_DETAIL,0.50,0.10,5200,0.00,0.00,0.30,0.90,collectible,sku-currency|sku-upgrade
imp-007,evt-013,p-002,sku-cosmetic,2026-01-01T02:00:00Z,s-007,store_home,VIEW,0.10,0.10,18000,0.00,0.00,0.70,0.00,collectible|event,
imp-007,evt-014,p-002,sku-cosmetic,2026-01-01T02:00:02Z,s-007,store_home,OPEN_DETAIL,0.10,0.10,18000,0.00,0.00,0.70,0.00,collectible|event,
imp-008,evt-015,p-002,sku-upgrade,2026-01-02T02:00:00Z,s-008,store_home,VIEW,0.20,0.50,18000,0.40,0.00,0.40,0.00,progression,
imp-009,evt-016,p-002,sku-cosmetic,2026-01-03T02:00:00Z,s-009,store_home,VIEW,0.15,0.20,18000,0.10,0.00,0.90,0.00,collectible|event,
imp-009,evt-017,p-002,sku-cosmetic,2026-01-03T02:00:02Z,s-009,store_home,OPEN_DETAIL,0.15,0.20,18000,0.10,0.00,0.90,0.00,collectible|event,
imp-009,evt-018,p-002,sku-cosmetic,2026-01-03T02:00:05Z,s-009,store_home,BUY,0.15,0.20,18000,0.10,0.00,0.90,0.00,collectible|event,
imp-010,evt-019,p-002,sku-currency,2026-01-04T02:00:00Z,s-010,store_home,VIEW,0.35,0.40,5100,0.20,0.00,0.30,0.80,convenience,sku-cosmetic
imp-011,evt-020,p-002,sku-cosmetic,2026-01-05T02:00:00Z,s-011,store_home,VIEW,0.25,0.10,5100,0.00,1.00,0.50,0.40,collectible,sku-cosmetic
imp-011,evt-021,p-002,sku-cosmetic,2026-01-05T02:00:02Z,s-011,store_home,OPEN_DETAIL,0.25,0.10,5100,0.00,1.00,0.50,0.40,collectible,sku-cosmetic
imp-012,evt-022,p-002,sku-upgrade,2026-01-06T02:00:00Z,s-012,store_home,VIEW,0.45,0.70,5100,0.60,0.00,0.20,0.20,progression,sku-cosmetic
